DATE,MONTH,TYPE OF INCIDENT/ACTIVITY,TIME,TYPE OF EMR,"LOCATION (specify, nearest landmark or intersection)
(sample format): UN Ave. near Taft Intersection",INVOLVED,RECEIVING HOSPITAL,LATITUDE,LONGTITUDE,LATITUDE,LONGTITUDE,NO. OF OUTDATED ROAD TRAFFIC CONTROL DEVICES,
"January 10, 2023",January 2023,Emergency Medical Response (EMR),2:23:00 am,Vehicular / Road Accident, infront of kartilya ng katipunan,Others,Philippine Orthopedic Center (P.O.C.),"14°35'27.13""N","120°58'50.80""E",14.590869,120.980778,0,
"January 10, 2023",January 2023,Emergency Medical Response (EMR),1:12:00 pm,Vehicular / Road Accident,Mel Lopez Blvd cor Zaragoza Tondo Manila Northbound,Motorcycle vs Truck,Ospital ng Maynila (OSMA),"14°36'9.25""N","120°57'42.77""E",14.602569,120.961881,5,
"January 10, 2023",January 2023,Emergency Medical Response (EMR),4:02:00 pm,Vehicular / Road Accident,Mel Leon Guinto cor Quirino ave. Northbound,Others,Ospital ng Maynila (OSMA),"14°34'11.41""N","120°59'30.17""E",14.569836,120.991714,0,
"January 11, 2023",January 2023,Emergency Medical Response (EMR),10:07:00 am,Vehicular / Road Accident,Rizal Ave. cor. Lorenzo St. Southbound,Motorcycle vs Motorcycle,Jose Reyes Hospital,"14°36'51.72""N","120°58'57.40""E",14.614367,120.982611,3,
"January 11, 2023",January 2023,Emergency Medical Response (EMR),10:07:00 am,Vehicular / Road Accident,Rizal Ave. cor. Lorenzo St. Southbound,Motorcycle vs Motorcycle,Refused to transport,,,,,0,
"January 12, 2023",January 2023,Emergency Medical Response (EMR),4:57:00 am,Vehicular / Road Accident,"Quirino Ave. cor. Leveriza St. Malate, Manila",Motorcycle vs SUV,Ospital ng Maynila (OSMA),"14°34'3.74""N","120°59'22.49""E",14.567706,120.989581,5,
"January 12, 2023",January 2023,Emergency Medical Response (EMR),9:46:00 pm,Vehicular / Road Accident,España Blvd. cor. Lacson St. ,Motorcycle vs Motorcycle,Jose Reyes Hospital,"14°36'34.83""N","120°59'34.42""E",14.609675,120.992894,4,
"January 13, 2023",January 2023,Emergency Medical Response (EMR),6:06:00 pm,Vehicular / Road Accident,P. Burgos cor. Gen. Luna St.,Motorcycle vs Motorcycle,Tondo Medical Hospital,"14°35'6.89""N","120°58'46.46""E",14.585247,120.979572,3,
"January 14, 2023",January 2023,Emergency Medical Response (EMR),12:48:00 am,Vehicular / Road Accident,"España St. cor. Morret St. Sampaloc, Manila",Motorcycle (Loss of Control),Jose Reyes Hospital,"14°36'27.26""N","120°59'26.18""E",14.607572,120.990606,0,
"January 15, 2023",January 2023,Emergency Medical Response (EMR),7:55:00 am,Vehicular / Road Accident,Tayuman Westbound In Front of Puregold Tayuman,PUJ vs Ebike,Tondo Medical Hospital,"14°37'4.91""N","120°58'15.28""E",14.618031,120.970911,2,
"January 16, 2023",January 2023,Emergency Medical Response (EMR),6:07:00 am,Vehicular / Road Accident,Capulong near Pretil PCP,Motorcycle (Loss of Control),Others,"14°37'5.81""N","120°58'13.76""E",14.618281,120.970489,0,
"January 16, 2023",January 2023,Emergency Medical Response (EMR),6:07:00 am,Vehicular / Road Accident,Capulong near Pretil PC,Motorcycle (Loss of Control),Others,,,,,0,
"January 17, 2023",January 2023,Emergency Medical Response (EMR),7:29:00 am,Vehicular / Road Accident,5th St. cor. C. Aguila St.,Motorcycle vs Ebike/Bike,Ospital ng Maynila (OSMA),"14°35'56.33""N","120°59'44.91""E",14.598981,120.995808,0,
"January 19, 2023",January 2023,Emergency Medical Response (EMR),10:31:00 pm,Vehicular / Road Accident,"Pedro Gil cor. Quirino Paco, Manila",Motorcycle vs Ebike/Bike,Refused to transport,"14°34'43.05""N","120°59'54.12""E",14.578625,120.998367,0,
"January 20, 2023",January 2023,Emergency Medical Response (EMR),7:49:00 pm,Vehicular / Road Accident,Roxas Blvd. In front US Embassy North bound,Motorcycle (Loss of Control),Others,"14°34'38.67""N","120°58'43.57""E",14.577408,120.978769,0,
"January 21, 2023",January 2023,Emergency Medical Response (EMR),7:11:00 am,Vehicular / Road Accident,Ayala Blvd corner Taft Avenue,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.),"14°35'10.36""N","120°58'57.57""E",14.586211,120.982658,4,
"January 21, 2023",January 2023,Emergency Medical Response (EMR),1:34:00 pm,Vehicular / Road Accident,Quirino Extension corner Peñafrancia,Truck vs Pedestrian Struck,Philippine General Hospital (PGH),"14°34'58.28""N","120°59'49.73""E",14.582856,120.997147,4,
"January 21, 2023",January 2023,Emergency Medical Response (EMR),7:17:00 pm,Vehicular / Road Accident,Quirino Avenue Plaza Dilao,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.),"14°34'50.84""N","120°59'57.19""E",14.580789,120.999219,0,
"January 21, 2023",January 2023,Emergency Medical Response (EMR),10:45:00 pm,Vehicular / Road Accident,Pedro Gil corner Quirino,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.),"14°34'43.34""N","120°59'54.38""E",14.578706,120.998439,0,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),1:54:00 am,Vehicular / Road Accident,Padre Faura corner Taft Avenue,Motorcycle vs Sedan,Refused to transport,"14°34'47.58""N","120°59'9.78""E",14.579883,120.98605,3,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),5:18:00 pm,Vehicular / Road Accident,Dagupan Street corner Fulion,Others,Jose Reyes Hospital,"14°36'53.62""N","120°58'24.11""E",14.614894,120.973364,0,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),5:18:00 pm,Vehicular / Road Accident,Dagupan Street  corner Fullon,Others,Gat. Andres Bonifacio Hospital,,,,,0,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),5:18:00 pm,Vehicular / Road Accident,Dagupan Street corner Fullon,Others,Gat. Andres Bonifacio Hospital,,,,,0,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),5:18:00 pm,Vehicular / Road Accident,Dagupan Street corner Fullon,Others,Gat. Andres Bonifacio Hospital,,,,,0,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),7:30:00 pm,Vehicular / Road Accident,Rizal Avenue corner Batangas Street,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.),"14°37'14.18""N","120°58'58.55""E",14.620606,120.982931,4,
"January 22, 2023",January 2023,Emergency Medical Response (EMR),9:37:00 pm,Vehicular / Road Accident,Lacson Avenue corner Aragon Street,PUV vs Pedestrian,Chinese General Hospital,"14°36'57.52""N","120°59'12.19""E",14.615978,120.970053,0,
"January 23, 2023",January 2023,Emergency Medical Response (EMR),10:15:00 am,Vehicular / Road Accident,Recto Avenue,Motorcycle vs Pedestrian,Gat. Andres Bonifacio Hospital,"14°36'16.79""N","120°58'42.15""E",14.604664,120.978375,0,
"January 23, 2023",January 2023,Emergency Medical Response (EMR),10:52:00 pm,Vehicular / Road Accident,Recto Avenue corner Abad Santos,Motorcycle (Loss of Control),Jose Reyes Hospital,"14°36'21.94""N","120°58'29.84""E",14.606094,120.974956,0,
"January 23, 2023",January 2023,Emergency Medical Response (EMR),10:52:00 pm,Vehicular / Road Accident,Recto Avenure corner Abad Santos,Motorcycle (Loss of Control),Jose Reyes Hospital,,,,,0,
"January 25, 2023",January 2023,Emergency Medical Response (EMR),8:35:00 am,Vehicular / Road Accident,Rizal Avenue corner Cavite Street Southbound,Motorcycle vs Motorcycle,Maniila Doctor's Hospital,"14°37'27.36""N","120°58'58.38""E",14.624267,120.982883,5,
"January 25, 2023",January 2023,Emergency Medical Response (EMR),9:58:00 am,Vehicular / Road Accident,Roxas Blvd in front of Aristocrat,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA),"14°34'5.24""N","120°59'0.29""E",14.568122,120.983414,0,
"January 25, 2023",January 2023,Emergency Medical Response (EMR),1:46:00 pm,Vehicular / Road Accident,Road 10 corner Capulong,Motorcycle vs Truck,Gat. Andres Bonifacio Hospital,"14°37'13.30""N","120°57'35.39""E",14.620361,120.959831,1,
"January 27, 2023",January 2023,Emergency Medical Response (EMR),9:23:00 am,Vehicular / Road Accident,Dimasalang Road Southbound,Motorcycle vs Pedestrian,Philippine Orthopedic Center (P.O.C.),"14°37'18.29""N","120°59'20.44""E",14.621747,120.989011,0,
"January 27, 2023",January 2023,Emergency Medical Response (EMR),9:37:00 am,Vehicular / Road Accident,Ayala Blvd in front of TUP,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA),"14°35'14.84""N","120°59'1.37""E",14.587456,120.983714,0,
"January 28, 2023",January 2023,Emergency Medical Response (EMR),12:25:00 am,Vehicular / Road Accident,McArthur Bridge Southbound,Motorcycle (Loss of Control),Jose Reyes Hospital,"14°35'48.23""N","120°58'49.70""E",14.596731,120.980472,0,
"January 28, 2023",January 2023,Emergency Medical Response (EMR),12:25:00 am,Vehicular / Road Accident,McArthur Bridge Southbound,Motorcycle (Loss of Control),Refused to transport,,,,,0,
"January 29, 2023",January 2023,Emergency Medical Response (EMR),9:19:00 pm,Vehicular / Road Accident,Capulong corner Road 10,Motorcycle (Loss of Control),Gat. Andres Bonifacio Hospital,"14°37'13.17""N","120°57'34.98""E",14.620325,120.959717,1,
"January 29, 2023",January 2023,Emergency Medical Response (EMR),11:40:00 pm,Vehicular / Road Accident,Estrada Street Rosalita 1561,Motorcycle vs Tricycle,Sta. Ana Hospital,"14°33'58.24""N","120°59'54.17""E",14.566178,120.998381,0,
"January 30, 2023",January 2023,Emergency Medical Response (EMR),1:04:00 am,Vehicular / Road Accident,"Osmeña corner Pacheco Street Tondo, Manila",Motorcycle (Loss of Control),Tondo Medical Hospital,"14°36'52.94""N","120°57'47.76""E",14.614706,120.963267,0,
"January 30, 2023",January 2023,Emergency Medical Response (EMR),2:07:00 am,Vehicular / Road Accident,"Taft Avenue corner Dagonoy Malate, Manila",Bicycle (Loss of Control),Tondo Medical Hospital,"14°33'56.73""N","120°59'37.54""E",14.565758,120.993761,0,
"January 30, 2023",January 2023,Emergency Medical Response (EMR),11:22:00 am,Vehicular / Road Accident,"North Bay Balut Tondo, Manila ",Motorcycle vs Ebike/Bike,Tondo Medical Hospital,"14°37'50.66""N","120°57'59.26""E",14.630739,120.966461,0,
"February 1, 2023",February 2023,Emergency Medical Response (EMR),1:54:00 am,Vehicular / Road Accident,Quezon Blvd Underpass,Motorcycle (Loss of Control),Jose Reyes Hospital," 14°36'10.78""N","120°59'5.81""E",14.602994,120.984947,0,
"February 1, 2023",February 2023,Emergency Medical Response (EMR),1:54:00 am,Vehicular / Road Accident,San Marcelino Corner Apacible,Motorcycle vs Truck,Double two upon arrival," 14°34'47.26""N","120°59'20.14""E",14.579794,120.988928,0,
"February 1, 2023",February 2023,Emergency Medical Response (EMR),10:59:00 am,Vehicular / Road Accident,Quintos St. corner M.H Del Pilar,Motorcycle vs Sedan,Ospital ng Maynila (OSMA)," 14°34'20.30""N","120°58'57.86""E",14.572306,120.982739,0,
"February 2, 2023",February 2023,Emergency Medical Response (EMR),12:09:00 am,Vehicular / Road Accident,Recto Ave. corner Nicanor Reyes St. Sampaloc Manila,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.)," 14°36'7.96""N","120°59'14.03""E",14.602211,120.987231,3,
"February 2, 2023",February 2023,Emergency Medical Response (EMR),5:28:00 pm,Vehicular / Road Accident,Craig corner P. Florentino St. Sampaloc Manila,Motorcycle vs Tricycle,Philippine Orthopedic Center (P.O.C.)," 14°36'34.46""N","121° 0'6.04""E",14.609572,121.001678,0,
"February 3, 2023",February 2023,Emergency Medical Response (EMR),8:30:00 am,Vehicular / Road Accident,San Marcelino corner Ayala,Motorcycle vs Ebike/Bike,Philippine Orthopedic Center (P.O.C.)," 14°35'19.21""N","120°59'4.43""E",14.588669,120.984564,5,
"February 3, 2023",February 2023,Emergency Medical Response (EMR),4:51:00 pm,Vehicular / Road Accident,Legarda,Motorcycle vs Pedestrian,Tondo Medical Hospital," 14°36'3.21""N","120°59'42.64""E",14.600892,120.995178,0,
"February 4, 2023",February 2023,Emergency Medical Response (EMR),12:42:00 am,Vehicular / Road Accident,Roxas Blvd cor. Katigbak,Motorcycle vs Truck,Refused to transport," 14°34'58.40""N","120°58'32.17""E",14.582889,120.975603,5,
"February 6, 2023",February 2023,Emergency Medical Response (EMR),4:35:00 pm,Vehicular / Road Accident,Road 10 Capulong,Motorcycle vs Tricycle,Gat. Andres Bonifacio Hospital," 14°37'12.07""N","120°57'35.88""E",14.620019,120.959967,1,
"February 7, 2023",February 2023,Emergency Medical Response (EMR),9:16:00 am,Vehicular / Road Accident,G. Tuazon cor. Palawan St. Sampaloc Manila,Motorcycle vs Pedestrian,Philippine Orthopedic Center (P.O.C.)," 14°36'26.06""N","121° 0'12.35""E",14.607239,121.003431,0,
"February 9, 2023",February 2023,Emergency Medical Response (EMR),6:07:00 am,Vehicular / Road Accident,Road 10 Morriones,Motorcycle (Loss of Control),Refused to transport," 14°36'33.99""N","120°57'40.42""E",14.609442,120.961228,5,
"February 10, 2023",February 2023,Emergency Medical Response (EMR),7:54:00 am,Vehicular / Road Accident,Hermosa corner Abad Santos,Motorcycle vs Motorcycle,Metropolitan Hospital," 14°37'55.05""N","120°58'49.52""E",14.631958,120.980422,2,
"February 10, 2023",February 2023,Emergency Medical Response (EMR),5:59:00 pm,Vehicular / Road Accident,Yuseco St. corner Abad Santos,Motorcycle (Loss of Control),Chinese General Hospital," 14°37'10.61""N","120°58'40.02""E",14.619614,120.977783,5,
"February 10, 2023",February 2023,Emergency Medical Response (EMR),5:59:00 pm,Vehicular / Road Accident,Yuseco St. corner Abad Santos,Motorcycle (Loss of Control),Refused to transport," 14°37'10.61""N","120°58'40.02""E",14.619614,120.977783,5,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),1:16:00 am,Vehicular / Road Accident,Cong. A Francisco corner Leon Guinto,Others,Ospital ng Maynila (OSMA)," 14°34'2.06""N","120°59'38.41""E",14.567239,120.994003,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),7:19:00 am,Vehicular / Road Accident,Ilaya Divisoria Recto,Motorcycle (Loss of Control),Gat. Andres Bonifacio Hospital," 14°36'18.29""N","120°58'10.96""E",14.605081,120.969711,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),7:47:00 am,Vehicular / Road Accident,Lagusnilad,Motorcycle (Loss of Control),Refused to transport," 14°35'21.05""N","120°58'51.43""E",14.589181,120.980953,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),7:47:00 am,Vehicular / Road Accident,Lagusnilad,Motorcycle (Loss of Control),Others," 14°35'21.05""N","120°58'51.43""E",14.589181,120.980953,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),7:47:00 am,Vehicular / Road Accident,Lagusnilad,Motorcycle (Loss of Control),Refused to transport," 14°35'21.05""N","120°58'51.43""E",14.589181,120.980953,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),8:18:00 am,Vehicular / Road Accident,Quezon Boulevard Southbound,Motorcycle vs Motorcycle,Others," 14°35'39.64""N","120°58'47.90""E",14.594344,120.979972,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),8:18:00 am,Vehicular / Road Accident,Quezon Boulevard Southbound,Motorcycle vs Motorcycle,Others," 14°35'39.64""N","120°58'47.90""E",14.594344,120.979972,0,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),1:41:00 pm,Vehicular / Road Accident,Road 10 Moriones Street,Motorcycle vs Motorcycle,Gat. Andres Bonifacio Hospital," 14°36'33.92""N","120°57'39.52""E",14.609422,120.960978,5,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),1:41:00 pm,Vehicular / Road Accident,Road 10 Moriones Street ,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°36'33.92""N","120°57'39.52""E",14.609422,120.960978,5,
"February 11, 2023",February 2023,Emergency Medical Response (EMR),8:34:00 pm,Vehicular / Road Accident,MC Arthur Bridge in front of Feati University,Motorcycle vs Motorcycle,Refused to transport," 14°35'51.67""N","120°58'50.12""E",14.597686,120.980589,0,
"February 12, 2023",February 2023,Emergency Medical Response (EMR),11:59:00 pm,Vehicular / Road Accident,Quezon Blvd (In front of Quiapo Church),Motorcycle vs Motorcycle,Refused to transport," 14°35'54.21""N","120°59'2.47""E",14.598392,120.984019,0,
"February 12, 2023",February 2023,Emergency Medical Response (EMR),11:59:00 pm,Vehicular / Road Accident,Quezon Blvd (In front of Quiapo Church),Motorcycle vs Motorcycle,Refused to transport," 14°35'54.21""N","120°59'2.47""E",14.598392,120.984019,0,
"February 13, 2023",February 2023,Emergency Medical Response (EMR),11:34:00 pm,Vehicular / Road Accident,Padre Burgos in front of National Museum,Others,Maniila Doctor's Hospital," 14°35'13.14""N","120°58'50.42""E",14.586983,120.980672,2,
"February 14, 2023",February 2023,Emergency Medical Response (EMR),3:39:00 am,Vehicular / Road Accident,Along  Road 10 In front of Brgy. 118,Others,Gat. Andres Bonifacio Hospital," 14°36'44.27""N","120°57'38.13""E",14.612297,120.960592,0,
"February 14, 2023",February 2023,Emergency Medical Response (EMR),6:51:00 pm,Vehicular / Road Accident,Mc Arthur Bridge,Motorcycle vs Close Van,Refused to transport," 14°35'48.71""N","120°58'49.54""E",14.596864,120.980428,0,
"February 15, 2023",February 2023,Emergency Medical Response (EMR),4:03:00 am,Vehicular / Road Accident,Quezon Boulevard Bridge (Southbound),Motorcycle (Loss of Control),Philippine General Hospital (PGH)," 14°35'42.90""N","120°58'53.30""E",14.59525,120.981472,0,
"February 15, 2023",February 2023,Emergency Medical Response (EMR),4:03:00 am,Vehicular / Road Accident,Quezon Boulevard Bridge (Southbound),Motorcycle (Loss of Control),Philippine General Hospital (PGH)," 14°35'42.90""N","120°58'53.30""E",14.59525,120.981472,0,
"February 16, 2023",February 2023,Emergency Medical Response (EMR),5:35:00 pm,Vehicular / Road Accident,Adamson University,Motorcycle vs Ebike/Bike,Refused to transport," 14°35'14.33""N","120°59'6.91""E",14.587314,120.985253,0,
"February 16, 2023",February 2023,Emergency Medical Response (EMR),5:35:00 pm,Vehicular / Road Accident,Adamson University,Motorcycle vs Ebike/Bike,Refused to transport," 14°35'14.33""N","120°59'6.91""E",14.587314,120.985253,0,
"February 17, 2023",February 2023,Emergency Medical Response (EMR),7:48:00 am,Vehicular / Road Accident,Maria Orosa corner T.M Kalaw St. Manila,Motorcycle vs Ambulance,Refused to transport," 14°34'54.87""N","120°58'52.54""E",14.581908,120.981261,4,
"February 17, 2023",February 2023,Emergency Medical Response (EMR),7:48:00 am,Vehicular / Road Accident,Maria Orosa corner T.M Kalaw St. Manila,Motorcycle vs Ambulance,Ospital ng Maynila (OSMA)," 14°34'54.87""N","120°58'52.54""E",14.581908,120.981261,4,
"February 17, 2023",February 2023,Emergency Medical Response (EMR),6:06:00 pm,Vehicular / Road Accident,"Taft Avenue corner Quirino Avenue Malate, Manila",Others,Ospital ng Maynila (OSMA)," 14°34'13.80""N","120°59'29.75""E",14.5705,120.991597,1,
"February 18, 2023",February 2023,Emergency Medical Response (EMR),4:18:00 am,Vehicular / Road Accident,Road 10 Pacheco South Bound,Others,Gat. Andres Bonifacio Hospital," 14°36'53.36""N","120°57'37.13""E",14.614822,120.960314,1,
"February 18, 2023",February 2023,Emergency Medical Response (EMR),11:27:00 am,Vehicular / Road Accident,Aristocrat,Motorcycle vs Pedestrian,Ospital ng Maynila (OSMA)," 14°34'6.37""N","120°59'1.12""E",14.568436,120.983644,0,
"February 19, 2023",February 2023,Emergency Medical Response (EMR),9:37:00 am,Vehicular / Road Accident,Kalaw corner Del Pilar,Motorcycle vs Ebike/Bike,Ospital ng Maynila (OSMA)," 14°34'50.29""N","120°58'43.35""E",14.580636,120.978708,2,
"February 20, 2023",February 2023,Emergency Medical Response (EMR),11:19:00 am,Vehicular / Road Accident,P. Burgos Drive corner Roxas Boulevard Katigbak,Motorcycle vs Ebike/Bike,Philippine Orthopedic Center (P.O.C.)," 14°34'58.15""N","120°58'31.59""E",14.582819,120.975442,5,
"February 20, 2023",February 2023,Emergency Medical Response (EMR),12:51:00 pm,Vehicular / Road Accident,Osmeña Highway Corner San Andres Manila,Motorcycle vs SUV,Sta. Ana Hospital," 14°34'21.45""N","120°59'57.42""E",14.572625,120.999283,1,
"February 20, 2023",February 2023,Emergency Medical Response (EMR),8:11:00 pm,Vehicular / Road Accident,Quirino Ave. Cor. Singgalong St. Manila,Motorcycle vs Taxi,Philippine Orthopedic Center (P.O.C.)," 14°34'23.94""N","120°59'38.69""E",14.573317,120.994081,5,
"February 21, 2023",February 2023,Emergency Medical Response (EMR),11:50:00 am,Vehicular / Road Accident,Southbound P. Burgos Infront of Mehan Garden,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°35'31.71""N","120°58'49.22""E",14.592142,120.980339,0,
"February 22, 2023",February 2023,Emergency Medical Response (EMR),1:37:00 pm,Vehicular / Road Accident,Osmeña Highway Crossing,Motorcycle vs Motorcycle,Philippine Orthopedic Center (P.O.C.)," 14°34'21.20""N","120°59'57.53""E",14.572556,120.999314,2,
"February 22, 2023",February 2023,Emergency Medical Response (EMR),8:44:00 pm,Vehicular / Road Accident,Infront of Columbia,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°34'53.13""N","121° 0'1.25""E",14.581425,121.000347,0,
"February 23, 2023",February 2023,Emergency Medical Response (EMR),10:54:00 am,Vehicular / Road Accident,Earnshaw Tondo,Motorcycle (Loss of Control),Gat. Andres Bonifacio Hospital," 14°37'38.68""N","120°58'7.41""E",14.627411,120.968725,0,
"February 24, 2023",February 2023,Emergency Medical Response (EMR),3:25:00 am,Vehicular / Road Accident,Lubiran Sta. Ana,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°35'34.48""N","121° 1'5.72""E",14.592911,121.018256,0,
"February 24, 2023",February 2023,Emergency Medical Response (EMR),3:35:00 am,Vehicular / Road Accident,Lubiran Bridge,Mutliple Collission,Sta. Ana Hospital," 14°35'23.39""N","121° 1'17.34""E",14.589831,121.021483,0,
"February 24, 2023",February 2023,Emergency Medical Response (EMR),3:35:00 am,Vehicular / Road Accident,Lubiran Bridge,Mutliple Collission,Sta. Ana Hospital," 14°35'23.39""N","121° 1'17.34""E",14.589831,121.021483,0,
"February 24, 2023",February 2023,Emergency Medical Response (EMR),8:23:00 am,Vehicular / Road Accident,L. Guinto corner Quirino Avenue,Motorcycle vs PUJ,Ospital ng Maynila (OSMA)," 14°34'15.60""N","120°59'31.90""E",14.571,120.992194,4,
"February 24, 2023",February 2023,Emergency Medical Response (EMR),5:57:00 pm,Vehicular / Road Accident,Leveriza St near Quirino Avenue,Motorcycle vs PUV,Chinese General Hospital," 14°34'5.08""N","120°59'21.95""E",14.568078,120.989431,4,
"February 25, 2023",February 2023,Emergency Medical Response (EMR),1:40:00 am,Vehicular / Road Accident,Quirino Osmena,Motorcycle (Loss of Control),Refused to transport," 14°34'29.01""N","120°59'42.69""E",14.574725,120.995192,0,
"February 25, 2023",February 2023,Emergency Medical Response (EMR),2:48:00 am,Vehicular / Road Accident,Road 10 corner Jacinto,Motorcycle vs Tricycle,Gat. Andres Bonifacio Hospital," 14°37'21.87""N","120°57'35.58""E",14.622742,120.959883,0,
"February 25, 2023",February 2023,Emergency Medical Response (EMR),5:28:00 am,Vehicular / Road Accident,V. Mapa Old Sta.Mesa,Motorcycle (Loss of Control),Sta. Ana Hospital," 14°36'0.50""N","121° 1'0.64""E",14.600139,121.016844,3,
"February 25, 2023",February 2023,Emergency Medical Response (EMR),5:28:00 am,Vehicular / Road Accident,V. Mapa Old Sta.Mesa,Motorcycle (Loss of Control),Sta. Ana Hospital," 14°36'0.50""N","121° 1'0.64""E",14.600139,121.016844,3,
"February 25, 2023",February 2023,Emergency Medical Response (EMR),10:53:00 am,Vehicular / Road Accident,Guidote St. Balut Tondo Manila,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°37'47.05""N","120°57'55.74""E",14.629736,120.965483,0,
