mfcc	contrast	centriod	emotion
"[[-819.6373    -822.45667   -825.03503   ... -822.5556    -823.0253
  -826.569    ]
 [  11.261948     7.294689     3.6978111 ...    6.913809     6.4287086
     1.530111 ]
 [  11.058264     7.163805     3.6912432 ...    6.285284     6.1821027
     1.5281875]
 ...
 [   7.046283     6.2537165    3.487032  ...    5.378214     5.51813
     1.4672817]
 [   6.5020742    6.2590904    3.4438658 ...    5.6975503    5.5702825
     1.4541228]
 [   5.9880714    6.270564     3.397193  ...    6.192316     5.684868
     1.4397725]]"	"[[10.35163374 15.31409676 12.16186465 ... 17.88033692 12.93620018
   9.57930911]
 [ 3.17660986  5.70395749 13.54060043 ...  3.26127156 12.72141623
   3.20216862]
 [12.84834697  9.6755967   9.7049317  ...  8.10627741  7.07888608
   7.29965617]
 ...
 [10.46240872 15.515736   13.16495455 ... 11.23607558 11.60662577
  12.89499456]
 [12.53555358 16.23257527 12.86031205 ... 13.84104926 14.63918473
  11.68344262]
 [15.37609175 19.53420091 37.0740218  ... 37.97211749 28.05363623
  21.36534096]]"	"[[-0.0080021  -0.00592499 -0.00181012 ... -0.05743424 -0.06252082
  -0.06007426]
 [-0.0576355  -0.06698827 -0.05528757 ...  0.01109764  0.00134594
   0.00651622]
 [ 0.10085687  0.09852141  0.09650911 ...  0.06220122  0.06486371
   0.05779319]
 [ 0.12093755  0.12123455  0.11861557 ...  0.00708715  0.01053387
   0.01135682]
 [ 0.05829583  0.05784348  0.06023524 ...  0.01240884  0.01087084
   0.009724  ]
 [ 0.00484895  0.00897003  0.00607478 ...  0.05872428  0.06096203
   0.06292973]]"	fearful
"[[-7.8056671e+02 -7.8055164e+02 -7.8056671e+02 ... -7.7480878e+02
  -7.7308295e+02 -7.7935809e+02]
 [ 0.0000000e+00  2.1372609e-02  0.0000000e+00 ...  7.9637284e+00
   1.0309926e+01  1.7050838e+00]
 [ 0.0000000e+00  2.1331048e-02  0.0000000e+00 ...  7.4464645e+00
   9.5223961e+00  1.6928554e+00]
 ...
 [ 0.0000000e+00  1.9955680e-02  0.0000000e+00 ...  1.3443345e+00
   1.0161401e+00  1.3288475e+00]
 [ 0.0000000e+00  1.9657180e-02  0.0000000e+00 ...  1.4510908e+00
   1.2973989e+00  1.2558571e+00]
 [ 0.0000000e+00  1.9332141e-02  0.0000000e+00 ...  1.7626723e+00
   1.8325799e+00  1.1784658e+00]]"	"[[ 7.81840661  3.32809552  3.95331103 ...  6.64069109  7.33363916
   9.86086957]
 [ 7.0966637   4.4706566   5.28381252 ...  3.72814836  3.73034621
   7.28227111]
 [ 6.85088638  6.33482501  7.0659843  ... 11.71632687 10.28542361
   5.40720035]
 ...
 [10.76438253 12.19797152 15.69230022 ...  9.03052079 14.85630599
   8.45293729]
 [12.9605212  14.72658235 12.19586    ... 12.33394455 13.19585547
  16.30448652]
 [20.04660647 26.97620387 36.66115282 ... 34.43105035 22.97505251
  16.57648989]]"	"[[-0.07579233 -0.07526572 -0.07437914 ... -0.09506766 -0.10035029
  -0.11184542]
 [-0.00240786 -0.00012458  0.00187638 ... -0.02390431 -0.01501539
  -0.01077547]
 [ 0.11046047  0.11121424  0.11303453 ...  0.11457869  0.11537763
   0.12122644]
 [-0.09446681 -0.09786627 -0.10087091 ... -0.07668641 -0.0524838
  -0.04372438]
 [ 0.00445815  0.00341242  0.00316484 ...  0.01003816  0.00891956
   0.01137403]
 [ 0.04012583  0.03994267  0.04020616 ...  0.02719662  0.02380204
   0.03104978]]"	fearful
"[[-764.0332    -764.0332    -764.0332    ... -655.9178    -662.0543
  -684.2521   ]
 [   0.           0.           0.        ...   51.86499     47.937195
    39.100483 ]
 [   0.           0.           0.        ...  -42.94457    -41.82041
   -36.353596 ]
 ...
 [   0.           0.           0.        ...    1.8978002   -4.7363567
    -6.1538324]
 [   0.           0.           0.        ...    2.3189929   -4.250703
    -9.070908 ]
 [   0.           0.           0.        ...   -4.848369    -9.506603
   -12.754238 ]]"	"[[17.6257792  17.6257792  17.6257792  ... 14.26772537 12.0908347
   3.62295236]
 [17.6257792  17.6257792  17.6257792  ...  5.88729728  5.1981851
   5.57425891]
 [17.6257792  17.6257792  17.6257792  ... 11.64416214  7.15762623
  10.65898281]
 ...
 [17.6257792  17.6257792  17.6257792  ... 17.79474336 14.41836653
  15.49817954]
 [17.6257792  17.6257792  17.6257792  ... 14.00619437 13.70267817
  16.97791166]
 [17.6257792  17.6257792  17.6257792  ... 40.20991134 32.44718606
  27.19549404]]"	"[[-0.06576125 -0.05484859 -0.03765863 ... -0.03231777 -0.03605591
   0.01890346]
 [-0.07315491 -0.06369788 -0.06816683 ... -0.02672878  0.00203567
   0.01384566]
 [-0.04768424 -0.04880133 -0.06429036 ...  0.0557286  -0.00481526
  -0.02739001]
 [ 0.05274356  0.08729434  0.11758957 ...  0.04680922  0.09883066
   0.04844401]
 [-0.00150709  0.00078292  0.00349387 ... -0.01797473 -0.01241027
   0.02104764]
 [ 0.0017825   0.00097172  0.00796894 ... -0.0097962  -0.00038052
   0.01914168]]"	fearful
"[[-7.9493024e+02 -7.7142053e+02 -7.5181073e+02 ... -5.7226953e+02
  -5.7725330e+02 -5.9940057e+02]
 [ 3.0599182e+01  5.2356728e+01  6.7811935e+01 ...  8.2891174e+01
   8.6230164e+01  8.5572998e+01]
 [ 2.5072342e+01  2.5862162e+01  2.1377659e+01 ... -3.2447662e+01
  -2.5750677e+01 -1.9746264e+01]
 ...
 [ 2.9702504e+00 -2.9615340e+00 -2.9034278e+00 ...  1.2006390e+01
   8.7986240e+00  1.0182280e+01]
 [ 2.6313000e+00  1.4704778e+00  7.7070832e-01 ...  4.6455045e+00
   3.2267714e+00  1.8169444e+00]
 [ 1.3099833e+00 -3.4316450e-02 -4.4897246e+00 ...  3.3906207e+00
   1.8750494e+00  1.0776088e+00]]"	"[[ 4.91747627  9.60962804 10.73801093 ...  8.01833304 11.05197118
  16.0771846 ]
 [11.35054118  9.96904504  9.17716219 ...  5.46137817  8.49018376
   6.86194814]
 [10.05003973  7.70012449 16.59258559 ...  8.94107703 11.97037202
   4.54882429]
 ...
 [10.54252028 16.48210886 17.62569023 ... 18.73197242 13.91052626
  14.53368453]
 [16.10085077 16.52341782 15.86278748 ... 13.6819422  15.87820777
  14.82255058]
 [31.93960247 34.90699351 35.84135217 ... 46.94106985 20.36154488
  18.24036411]]"	"[[ 0.04336529  0.0438318   0.02634742 ... -0.01925143 -0.02263199
  -0.02441495]
 [ 0.00560743  0.00299457  0.00127507 ...  0.00125124  0.04239538
   0.03240465]
 [-0.12891319 -0.111513   -0.09955255 ... -0.0117178  -0.07127915
  -0.02801672]
 [-0.03854179 -0.03813118 -0.00766601 ... -0.02578215 -0.02384374
  -0.01208612]
 [-0.02267955 -0.02527276 -0.03756145 ...  0.01295867  0.00356972
   0.01747137]
 [ 0.00039909 -0.00253906 -0.00389539 ...  0.0055427   0.01380544
   0.01247015]]"	fearful
"[[-724.6669 -724.6669 -724.6669 ... -724.6669 -724.6669 -724.6669]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]"	"[[17.01490241 17.01490241 17.01490241 ...  9.25243811 26.37070001
   5.93321274]
 [17.01490241 17.01490241 17.01490241 ...  4.49292652  3.9854333
   5.25893339]
 [17.01490241 17.01490241 17.01490241 ... 10.81566066 11.10544785
   9.51799768]
 ...
 [17.01490241 17.01490241 17.01490241 ... 11.71983285 11.04043306
   9.64572273]
 [17.01490241 17.01490241 17.01490241 ... 14.87967233 16.51114564
  12.03707978]
 [17.01490241 17.01490241 17.01490241 ... 39.19799939 21.5539997
  14.83647679]]"	"[[ 3.06543757e-02 -2.19492420e-03 -3.61173733e-02 ...  1.55745224e-02
   1.39069470e-02 -6.52815517e-03]
 [ 4.48182393e-03  6.47448293e-03  9.74150584e-03 ... -3.51395044e-02
  -4.68382271e-02 -5.48051964e-02]
 [-1.43427573e-01 -1.41807226e-01 -1.27593474e-01 ...  3.50934342e-02
   3.10100988e-02  5.75130954e-02]
 [ 6.95073493e-02  5.51106185e-02  3.01873200e-02 ... -6.60769641e-04
   7.35968351e-05  1.13584623e-02]
 [ 7.35124093e-03  3.24751232e-03  4.03999834e-03 ... -2.24352576e-03
  -1.07600574e-02  2.32434520e-04]
 [ 3.34439510e-02  3.39006712e-02  3.14822993e-02 ...  3.85479275e-02
   2.72994060e-02  3.25508378e-02]]"	fearful
"[[-8.2870563e+02 -8.2870563e+02 -8.2870563e+02 ... -8.2870270e+02
  -8.2870563e+02 -8.2870563e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.0909550e-03
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.0900307e-03
   0.0000000e+00  0.0000000e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.0604947e-03
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.0540434e-03
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.0450944e-03
   0.0000000e+00  0.0000000e+00]]"	"[[ 2.57604676  4.30385785  6.96370058 ... 10.40122495 11.89353291
   5.08439801]
 [ 3.34655786  5.81447755  4.30807804 ...  4.88548954  4.83738441
  10.75946542]
 [14.25551732  8.62753118  4.62672438 ...  8.89266327  6.43025665
   4.56882096]
 ...
 [12.34492295 10.52591463 13.78434593 ... 15.08047701 11.48891714
  13.7886697 ]
 [11.60067315 13.43606277 12.68560093 ... 14.97446882 13.43465583
  13.43101077]
 [33.85648977 34.14017571 35.42782115 ... 36.06916329 26.16237368
  15.96803967]]"	"[[-0.04937194 -0.04383248 -0.03760135 ... -0.01501168 -0.01223396
  -0.00559392]
 [ 0.00254845  0.01614932  0.00783081 ...  0.04144528  0.03641263
   0.03756538]
 [-0.04102657 -0.03773736 -0.04872821 ...  0.09082427  0.09251559
   0.10235232]
 [-0.03560214 -0.04048929 -0.05383088 ... -0.04328734 -0.03329113
  -0.05280568]
 [-0.00074481  0.00290092  0.00525677 ...  0.01444577  0.02042054
   0.0253237 ]
 [ 0.01343648  0.01055543  0.01006887 ...  0.0030106   0.00661405
   0.01170855]]"	happy
"[[-7.5662079e+02 -7.5662079e+02 -7.5662079e+02 ... -7.5424152e+02
  -7.5227258e+02 -7.5339844e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.3210239e+00
   6.0954828e+00  4.4889183e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.1922650e+00
   5.9362121e+00  4.2893968e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.7774916e-01
   2.1386902e+00  7.9911983e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.1539124e-01
   1.5726944e+00  5.1805067e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.9918224e-01
   1.0337566e+00  3.1483096e-01]]"	"[[ 4.79763242 18.282915    8.15144073 ...  6.49482687 13.43157738
  12.29023344]
 [13.58687689  4.95830557  7.42802051 ...  8.86669204 10.71064353
  13.15397757]
 [ 8.56335769 10.09465457 11.10147226 ... 10.26204579 12.37129484
   8.17240803]
 ...
 [10.74228823 14.23031058 17.27945148 ... 13.25739279 11.5286553
  12.42495394]
 [12.9330663  15.67222194 13.70485347 ... 13.52439326 13.10813467
  12.86496186]
 [28.83798641 31.75402993 35.85144409 ... 39.52882174 22.7940416
  17.46423311]]"	"[[-0.02477176 -0.04906258 -0.03422838 ...  0.0260181   0.03215297
   0.02013768]
 [ 0.00306863  0.01082259 -0.00409026 ... -0.02889971 -0.02549054
  -0.0228013 ]
 [-0.01788735 -0.00934048  0.03240398 ...  0.02301145  0.01484225
   0.00323112]
 [ 0.00657461 -0.00969274  0.05983186 ... -0.07470254 -0.06520222
  -0.06369605]
 [ 0.01851096  0.0323571   0.02544839 ... -0.00582458 -0.01694094
  -0.01672049]
 [ 0.03426688  0.00997297  0.01961915 ... -0.01749596 -0.01843109
  -0.01530677]]"	happy
"[[-8.30243652e+02 -8.30243652e+02 -8.30243652e+02 ... -8.30154541e+02
  -8.29624939e+02 -8.30243652e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.25578552e-01
   8.47999692e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.24189533e-01
   7.70450950e-01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.23291242e-02
   5.42216823e-02  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.38359019e-02
   1.07583806e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.47999346e-02
   1.80582315e-01  0.00000000e+00]]"	"[[11.73093911 11.73093911 11.73093911 ... 17.83165195  1.63130157
   0.93465441]
 [11.73093911 11.73093911 11.73093911 ... 12.98352931  1.65165257
   1.72477768]
 [11.73093911 11.73093911 11.73093911 ...  8.61539439  5.11647896
   3.94233887]
 ...
 [11.73093911 11.73093911 11.73093911 ... 11.80610667  4.76704904
   5.33156167]
 [11.73093911 11.73093911 11.73093911 ... 11.93028997 16.52385982
  14.1173325 ]
 [11.73093911 11.73093911 11.73093911 ... 37.8144891  32.55696046
  26.32743631]]"	"[[ 0.116584    0.11569139  0.11819206 ...  0.04939767  0.05041524
   0.05713929]
 [ 0.02713423  0.03630631  0.03026851 ... -0.01431838 -0.01086839
  -0.00702689]
 [ 0.07587628  0.08598462  0.07157124 ... -0.05254846 -0.03691553
  -0.05381092]
 [-0.01614948 -0.00863737  0.01871985 ... -0.02408071 -0.01832183
  -0.00441857]
 [-0.01092219 -0.00789491 -0.01380457 ... -0.01936515 -0.01409908
  -0.02081671]
 [ 0.02626268  0.02767999  0.03341089 ... -0.02915573 -0.02593325
  -0.02245009]]"	happy
"[[-8.6599457e+02 -8.6724304e+02 -8.6909723e+02 ... -7.6652997e+02
  -7.8226752e+02 -8.0651251e+02]
 [ 1.5153287e+01  1.3225592e+01  1.0580572e+01 ...  1.1105736e+02
   9.7052475e+01  7.7748566e+01]
 [ 1.4457254e+01  1.2298707e+01  9.8257332e+00 ...  3.0322739e+01
   2.9637997e+01  3.2671131e+01]
 ...
 [ 7.2651291e+00  9.7857151e+00  9.2780323e+00 ...  1.2195321e+00
   8.6521596e-01 -9.4206494e-01]
 [ 7.1571355e+00  9.8630819e+00  9.1711254e+00 ...  1.5488671e+01
   1.2381310e+01  8.9092960e+00]
 [ 7.0691266e+00  9.6777754e+00  8.7578020e+00 ...  1.6547775e+01
   1.2185450e+01  9.8029222e+00]]"	"[[13.91721201 22.01789165 19.5502089  ...  6.76257301  9.1474176
  12.99376472]
 [ 3.36947374  5.13296813  8.23112539 ... 12.38365135  8.49316761
   3.71546777]
 [ 7.30367781 10.26662257  9.65326837 ... 14.35993433 11.09088164
   7.36318899]
 ...
 [11.03808599 12.90885394 13.28815011 ... 16.10598003 15.44670968
  20.66086573]
 [11.936756   14.23380085 15.60308306 ... 15.42893026 19.52666444
  12.2017596 ]
 [19.30636873 23.17322396 37.84007427 ... 38.28761492 32.37399669
  27.84899666]]"	"[[-0.0712274  -0.06985634 -0.0718681  ... -0.0422667  -0.04162876
  -0.04284332]
 [ 0.02147275  0.01783032  0.01773714 ...  0.04231812  0.03475405
   0.03215799]
 [ 0.07113278  0.06988951  0.06964699 ... -0.04570948 -0.0540064
  -0.06067791]
 [ 0.02420177  0.01978333  0.02315378 ...  0.00572938  0.00107313
  -0.00885604]
 [-0.00548071 -0.00216207 -0.00255968 ...  0.00625653  0.00576552
   0.00592341]
 [ 0.0219225   0.02392987  0.02147646 ...  0.01542001  0.0139317
   0.01450477]]"	happy
"[[-712.2552    -702.9604    -705.9646    ... -624.291     -626.3906
  -641.6319   ]
 [  46.546337    52.28861     48.08603   ...   76.49953     78.8046
    72.65753  ]
 [  11.301542     6.646252     1.4818679 ...  -23.112148   -21.316372
   -18.636606 ]
 ...
 [  -5.4795117   -4.5150447   -5.0029435 ...   -7.803475   -13.147062
   -11.68546  ]
 [   3.858715     4.650324     6.109171  ...   -1.7130897   -0.9693832
     2.4658704]
 [   6.8297343    3.809729     6.4281864 ...   13.502588     9.252814
    12.814056 ]]"	"[[18.10543926  7.29971807 16.58948246 ... 12.22218866 10.72892576
   9.57129044]
 [ 3.21913193  9.11031871  9.42052389 ... 13.63994465  6.23073764
   7.47693433]
 [ 7.13978087  7.99309     9.95563523 ... 15.48485737 10.99080761
   8.78561715]
 ...
 [13.07230765 20.56035576 15.20727511 ... 16.94910484 17.77619356
  16.76296968]
 [15.64213306 14.2023051  17.56912602 ... 17.38201523 14.80544088
  16.92008285]
 [22.29922195 26.78524802 39.75324339 ... 45.58569875 24.033857
  21.98812822]]"	"[[-3.95201094e-02 -5.45385673e-02 -1.46486222e-02 ... -6.19422082e-03
  -5.34497615e-02 -5.32920269e-02]
 [ 2.54659142e-02  1.76904469e-05 -5.93465642e-03 ...  6.51183335e-02
   1.55655286e-02  2.36028992e-02]
 [-1.39141306e-02 -4.85891104e-03 -4.79395613e-02 ... -2.75346711e-02
   1.07459128e-02  1.00065693e-02]
 [-1.65440589e-02 -1.73403993e-02 -3.23852599e-02 ... -3.17826793e-02
  -6.75506890e-03  4.57983464e-03]
 [ 3.08078815e-03  8.98183945e-03 -2.11819127e-03 ... -9.46625601e-03
  -3.86177278e-03 -3.32785347e-03]
 [ 7.86130689e-03  1.58612095e-02  1.56029128e-02 ...  6.23324327e-03
  -4.04478051e-03  3.53420898e-03]]"	happy
"[[-8.2150690e+02 -8.2150690e+02 -8.2150690e+02 ... -8.1647321e+02
  -8.1993585e+02 -8.2078015e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.8679600e+00
   2.1950431e+00  1.0228884e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.1555796e+00
   2.1189749e+00  1.0082899e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.7184246e-01
   1.2978542e+00  5.9197521e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.1105500e+00
   1.2477757e+00  5.1318383e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.5731554e+00
   1.1827533e+00  4.3154630e-01]]"	"[[15.33274034 15.33274034 15.33274034 ...  3.75072294  6.64621201
   2.33516093]
 [15.33274034 15.33274034 15.33274034 ...  8.56517504 15.56386714
   3.93303673]
 [15.33274034 15.33274034 15.33274034 ...  5.66510986 15.61188448
  12.89616498]
 ...
 [15.33274034 15.33274034 15.33274034 ... 11.3389129  12.49321896
   7.9261996 ]
 [15.33274034 15.33274034 15.33274034 ... 12.46198193 12.78692229
   8.16286813]
 [15.33274034 15.33274034 15.33274034 ... 37.47510659 28.36162046
  23.41570553]]"	"[[ 0.02443319  0.00129207  0.0278322  ... -0.01037344 -0.01481595
  -0.0146936 ]
 [ 0.15181684  0.16206275  0.18071283 ...  0.01543415  0.01584601
   0.01449913]
 [-0.00579333 -0.01489084 -0.06439776 ...  0.01951699  0.02103762
   0.02829336]
 [ 0.04240727  0.02647952  0.01827027 ... -0.07009773 -0.07867731
  -0.08641275]
 [-0.03515835 -0.03588565 -0.02176648 ...  0.00149106  0.00276274
   0.00524681]
 [-0.08029295 -0.06969582 -0.02755111 ... -0.00139911 -0.00056163
   0.00188992]]"	neutral
"[[-782.96765   -782.96765   -782.96765   ... -774.5469    -772.5152
  -773.9796   ]
 [   0.           0.           0.        ...   11.556177    14.268478
    12.435747 ]
 [   0.           0.           0.        ...   10.59753     12.882673
    11.668722 ]
 ...
 [   0.           0.           0.        ...    2.4188852    3.821868
     3.2422407]
 [   0.           0.           0.        ...    1.9865191    2.7341592
     2.2316878]
 [   0.           0.           0.        ...    1.8658564    1.6392517
     1.2509772]]"	"[[ 6.8579927   9.46878965  8.58336541 ... 14.19695064  8.80504325
  16.19893541]
 [ 5.5947886   5.25474545 10.53030609 ...  6.29745024  5.5506009
   7.98537499]
 [ 9.25942163  8.3089645   6.90010287 ... 10.95498771 10.53830078
   5.9901821 ]
 ...
 [14.6577721  13.58973391 14.86026176 ... 12.32817853 16.71388882
  14.86004463]
 [14.66776114 13.82135473 13.79345993 ... 14.46510688 16.84054114
  10.58326813]
 [12.66301946 15.32056792 36.47594548 ... 40.49565637 31.4337296
  26.75274364]]"	"[[-0.00018965 -0.00732117 -0.00173848 ... -0.06624803 -0.04821891
  -0.04454222]
 [ 0.01642546  0.02094337  0.02538389 ...  0.03038524  0.03750647
   0.04146395]
 [-0.05022187 -0.04438265 -0.05495413 ...  0.05070727  0.03665241
   0.0305593 ]
 [-0.02764474  0.00200702 -0.00731866 ... -0.08791398 -0.08872652
  -0.08670785]
 [ 0.01540267 -0.01057913  0.00786628 ... -0.0143284  -0.01825843
  -0.02291123]
 [-0.00125377 -0.00964795  0.00564515 ...  0.03387653  0.03941369
   0.03916977]]"	neutral
"[[-8.6390125e+02 -8.6390125e+02 -8.6390125e+02 ... -8.4458630e+02
  -8.4868347e+02 -8.5565149e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.3236481e+01
   1.8716118e+01  1.0744634e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.6081333e+01
   1.2559786e+01  8.6303787e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.1936798e-01
  -1.6786755e+00 -1.0047035e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.3245416e+00
  -8.6902249e-01 -9.4102168e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -6.1916466e+00
  -1.3900206e+00 -1.2346063e+00]]"	"[[14.18568456 14.18568456 14.18568456 ... 19.65406306 21.75693171
  10.32343979]
 [14.18568456 14.18568456 14.18568456 ...  3.66196217  9.02696131
   3.72523865]
 [14.18568456 14.18568456 14.18568456 ...  9.20335917  6.57529103
   9.35275459]
 ...
 [14.18568456 14.18568456 14.18568456 ... 12.11752794  9.8301647
  10.63860978]
 [14.18568456 14.18568456 14.18568456 ... 14.22421518 11.95946615
  13.26875333]
 [14.18568456 14.18568456 14.18568456 ... 36.82445481 29.06837574
  23.31292174]]"	"[[ 0.07610042  0.09524256  0.09819052 ... -0.02157168 -0.01033685
   0.00812574]
 [ 0.01773708  0.00435274  0.0236129  ...  0.00212877 -0.01470771
   0.00566534]
 [ 0.03571934  0.00314016  0.00728271 ...  0.00203411 -0.03469341
  -0.03781216]
 [ 0.03425802  0.01865733  0.01548601 ... -0.00753484 -0.022328
  -0.01800734]
 [-0.01241166 -0.03548692 -0.04529282 ... -0.00502719  0.00125725
   0.00437253]
 [ 0.0410326   0.03034179  0.01444483 ... -0.00663891 -0.00353598
  -0.0049421 ]]"	neutral
"[[-868.91925   -866.72614   -861.0356    ... -854.8325    -854.78973
  -861.90826  ]
 [   1.6875087    4.787524    12.004129  ...   20.304173    20.296623
    11.036994 ]
 [   1.6849177    4.7801857   10.349773  ...   17.460875    17.377277
     9.877679 ]
 ...
 [   1.6035032    4.550934     6.3455205 ...    4.8804207    3.8694038
     4.409003 ]
 [   1.5860894    4.502221     6.7062893 ...    5.060618     4.251177
     4.1604967]
 [   1.5671803    4.4494514    6.2593384 ...    3.7551455    3.8777704
     3.1759539]]"	"[[11.04637884 22.3119448  17.91020828 ... 18.02333386 11.09961796
   9.56503106]
 [ 4.30321904  6.17029455  7.89114237 ...  6.19801017  7.38773958
   5.38782262]
 [11.91069698  6.5643687   9.83817396 ... 11.08649862 11.27965472
   9.67706897]
 ...
 [14.52383959 14.94969843 13.65690893 ... 14.81130037 16.57200894
  12.94345054]
 [14.36606233 13.10235659 13.3719096  ... 13.04772388 11.65137141
  13.78421477]
 [16.76833455 21.14350855 36.33982147 ... 38.70969118 23.69258056
  17.42305355]]"	"[[-0.01167662 -0.01280962 -0.02001276 ... -0.04725356 -0.05393662
  -0.05780688]
 [ 0.03924626  0.03414626  0.03919813 ... -0.0786815  -0.08035705
  -0.07678611]
 [-0.07668161 -0.06914354 -0.06974371 ... -0.02034507 -0.01765899
  -0.02781793]
 [-0.00157783 -0.00393327 -0.00102631 ... -0.06497366 -0.05923727
  -0.06255937]
 [ 0.0551815   0.05451658  0.04827703 ...  0.02151076  0.01681729
   0.02138488]
 [-0.00651647 -0.00679004 -0.00966812 ...  0.03557446  0.03556179
   0.03789422]]"	neutral
"[[-9.3663116e+02 -9.3663116e+02 -9.3663116e+02 ... -8.9289484e+02
  -8.8955084e+02 -8.9462054e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.0532757e+01
   4.2544724e+01  4.0670547e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.5515274e+01
   1.5803179e+01  1.4234460e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.8200812e+00
  -5.9977114e-01  2.1566682e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -6.0062224e-01
   2.5714738e+00  3.4984000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.6349750e+00
   3.1083121e+00  1.1064713e+00]]"	"[[14.76636767 14.76636767 14.76636767 ...  6.36837692 14.45877496
   7.47993906]
 [14.76636767 14.76636767 14.76636767 ...  6.79454786  9.7182146
  10.87791479]
 [14.76636767 14.76636767 14.76636767 ... 10.51775945 17.03526967
   8.25055586]
 ...
 [14.76636767 14.76636767 14.76636767 ... 10.19078821 12.1254914
  10.71629825]
 [14.76636767 14.76636767 14.76636767 ... 12.16781564 14.58665567
  11.26286948]
 [14.76636767 14.76636767 14.76636767 ... 37.83732621 24.12494127
  18.95061242]]"	"[[-0.0042516  -0.00044294  0.00440685 ... -0.00723638 -0.00314175
  -0.00710401]
 [ 0.01595695  0.01496574  0.01589331 ...  0.02762922  0.03796982
   0.02465144]
 [-0.0595818  -0.05434815 -0.04824785 ...  0.05301236  0.04426873
   0.055637  ]
 [ 0.05079147  0.05649204  0.06011645 ... -0.00239605 -0.00393864
  -0.01590624]
 [ 0.0224262   0.02379061  0.02483902 ... -0.02417546 -0.01919596
  -0.02970822]
 [ 0.01623195  0.0171016   0.01831319 ...  0.02743863  0.02415231
   0.01898001]]"	neutral
